# Species	Genes	Alg.-Conn.	Streptococcus_australis_protein.faa	Streptococcus_cristatus_protein.faa	Streptococcus_ferus_protein.faa	Streptococcus_koreensis_protein.faa	Streptococcus_sobrinus_protein.faa	aerococcus_1.faa	aerococcus_2.faa	aerococcus_3.faa	aerococcus_4.faa	aerococcus_5.faa	anoxybacillus_1.faa	anoxybacillus_2.faa	anoxybacillus_3.faa	anoxybacillus_4.faa	anoxybacillus_5.faa	enterococcus_durans_protein.faa	enterococcus_faecium_protein.faa	enterococcus_gilvus_protein.faa	enterococcus_lactis_protein.faa	enterococcus_raffinosus_protein.faa	paenibacillus_1.faa	paenibacillus_2.faa	paenibacillus_3.faa	paenibacillus_4.faa	paenibacillus_5.faa
24	24	0.00184	WP_006595320.1	WP_005591370.1	WP_018030401.1	WP_023024832.1	WP_002959952.1	WP_034258092.1	WP_060776828.1	WP_060778689.1	WP_067978375.1	WP_050774109.1	WP_009360762.1	WP_066322169.1	*	WP_181557389.1	WP_171567214.1	WP_016177743.1	WP_002287409.1	WP_010779620.1	WP_002290936.1	WP_010745331.1	WP_014372583.1	WP_038692851.1	WP_116234463.1	WP_162354776.1	WP_162640941.1
7	7	0.111	*	WP_005590786.1	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_081135368.1	WP_002296671.1	WP_114525716.1	WP_002306618.1	WP_148405783.1	*	*	WP_152398618.1	*	*
6	7	0.279	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_171566153.1	*	*	*	*	*	WP_014370065.1	WP_038696962.1	WP_152398254.1,WP_152398255.1	WP_225442471.1	WP_162644468.1
13	14	0.236	WP_126404656.1	WP_005592326.1	WP_018030038.1	WP_120701720.1	*	*	*	*	*	*	*	*	*	*	*	*	WP_101699741.1	WP_114526001.1	WP_002290558.1	WP_218257466.1	WP_013916035.1	WP_038696468.1	WP_105442246.1	WP_162357958.1	WP_162640159.1,WP_162644821.1
21	21	0.241	*	*	WP_051048380.1	*	*	WP_059348400.1	WP_060776490.1	WP_060777682.1	WP_143236692.1	WP_004262800.1	WP_035065361.1	WP_066327601.1	WP_127017808.1	WP_194519064.1	WP_230076632.1	WP_095443513.1	WP_002303966.1	WP_114524611.1	WP_137202921.1	WP_218255919.1	WP_014649945.1	WP_038694883.1	WP_152400985.1	WP_162358938.1	WP_162643536.1
7	8	0.361	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_194519634.1	WP_171565487.1	*	*	*	*	*	WP_014371993.1	WP_038693968.1	WP_152401631.1	WP_162354656.1,WP_162359014.1	WP_162643429.1
7	7	0.268	*	*	*	*	*	*	*	*	*	*	WP_009361622.1	WP_066327922.1	*	WP_181554794.1	WP_171567490.1	*	*	*	*	*	WP_014369328.1	*	*	WP_162358539.1	WP_225446240.1
17	17	0.21	WP_126403814.1	WP_005591010.1	WP_018030962.1	WP_120701220.1	WP_109833677.1	WP_059349353.1	*	*	*	WP_039935231.1	*	*	*	*	*	WP_081134720.1	WP_002295362.1	WP_086303657.1	WP_002310391.1	WP_010746188.1	WP_014649267.1	WP_038693510.1	WP_152399234.1	WP_162355373.1	WP_162640304.1
9	9	0.198	*	*	*	*	*	*	*	*	*	*	*	WP_066322770.1	WP_127017247.1	WP_220129430.1	WP_230077469.1	*	*	*	*	*	WP_013913928.1	WP_052098929.1	WP_076174578.1	WP_225442587.1	WP_162642453.1
9	9	0.122	*	*	WP_018030798.1	*	*	WP_059348326.1	*	*	*	WP_039935203.1	*	*	*	*	*	*	*	WP_114524645.1	*	WP_218255992.1	*	WP_038693020.1	WP_152404406.1	WP_162357462.1	WP_162643708.1
9	9	0.175	*	*	*	*	*	*	*	*	*	*	WP_019416972.1	*	WP_236777944.1	WP_181556771.1	WP_230077841.1	*	*	*	*	*	WP_013921065.1	WP_038696494.1	WP_152399379.1	WP_162356585.1	WP_162639056.1
8	9	0.115	WP_126403875.1	WP_005592215.1	*	WP_120701171.1	*	*	*	WP_060778889.1	*	*	*	WP_238583508.1	*	WP_194518920.1	*	WP_095443923.1	*	WP_114524243.1,WP_010740282.1	*	*	*	*	*	*	*
8	9	0.189	WP_126403584.1	WP_005591338.1	*	WP_120701409.1	*	*	*	*	*	*	*	*	*	*	*	WP_095443540.1	WP_016181190.1	WP_114523958.1	*	WP_218256719.1,WP_218256855.1	*	*	WP_152400930.1	*	*
21	21	0.139	WP_126404006.1	WP_005590753.1	WP_018030158.1	WP_120702165.1	WP_109833725.1	WP_059349238.1	*	*	WP_067978449.1	WP_003142219.1	WP_035067146.1	WP_066326382.1	WP_127016961.1	WP_194518976.1	WP_230076734.1	WP_005881112.1	WP_002288107.1	WP_010779977.1	WP_002292364.1	WP_060789518.1	*	*	WP_089545990.1	WP_162358628.1	WP_162644030.1
6	6	0.26	*	*	*	*	*	*	*	*	*	*	WP_006321816.1	WP_066323118.1	*	WP_181556314.1	WP_171563961.1	*	*	*	*	*	*	WP_038695030.1	WP_076166259.1	*	*
6	6	0.259	*	*	*	*	*	*	WP_144428649.1	*	WP_074572657.1	*	*	*	*	*	*	WP_198324533.1	*	WP_114524209.1	WP_002329071.1	WP_218257339.1	*	*	*	*	*
6	6	0.304	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_171564407.1	*	*	*	*	*	WP_014368674.1	WP_038694050.1	WP_152404134.1	WP_162357262.1	WP_162638189.1
6	6	0.301	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_171567103.1	*	*	*	*	*	WP_013917239.1	WP_038698649.1	WP_152400169.1	WP_162359311.1	WP_162643116.1
4	6	0.206	*	*	*	*	*	*	*	*	*	WP_060779370.1,WP_060779304.1	WP_049720849.1,WP_049720882.1	*	*	*	WP_230077399.1	*	WP_085837482.1	*	*	*	*	*	*	*	*
9	10	0.225	*	*	*	*	*	WP_059348525.1	*	WP_060777761.1	WP_067979460.1,WP_067978987.1	WP_003140830.1	*	*	*	*	*	*	*	*	*	*	WP_013915325.1	WP_038695145.1	WP_145159803.1	WP_162356225.1	WP_162639404.1
6	6	0.153	*	*	*	*	WP_004205707.1	*	*	*	*	*	*	*	*	*	*	WP_081133825.1	WP_002286342.1	WP_114525169.1	WP_002329607.1	WP_218256248.1	*	*	*	*	*
5	6	0.409	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014372483.1	WP_038694088.1,WP_169744550.1	WP_145160845.1	WP_162356005.1	WP_162639649.1
13	14	0.143	WP_126404514.1	WP_005589572.1	*	WP_120701781.1	*	WP_173636791.1	WP_060777372.1,WP_060777207.1	WP_060779010.1	WP_067977220.1	WP_039935952.1	*	*	*	*	*	WP_081135600.1	WP_002295092.1	WP_114524196.1	WP_002290806.1	WP_218257071.1	*	*	*	*	*
25	30	0.244	WP_126404879.1	WP_005591177.1	WP_018030652.1	WP_023027298.1	WP_109833431.1	WP_026465890.1	WP_060777114.1	WP_060778126.1	WP_067980176.1	WP_003142521.1	WP_035064035.1	WP_066323449.1	WP_127018157.1,WP_127016744.1	WP_181555084.1	WP_171564694.1,WP_171566141.1	WP_005875702.1	WP_002287948.1	WP_010781605.1	WP_002310218.1	WP_218256743.1	WP_013919431.1,WP_013916227.1	WP_038696634.1	WP_076168017.1	WP_162357192.1,WP_162356937.1	WP_162638614.1,WP_162638846.1
19	22	0.309	WP_126404678.1	*	WP_018031011.1	WP_023024060.1	*	WP_059348563.1	WP_060776299.1	WP_060778247.1,WP_060778545.1,WP_060778218.1	WP_067979334.1	WP_003142997.1	WP_019417034.1	*	*	WP_194519724.1,WP_181556019.1	WP_171567050.1	WP_081135130.1	WP_002289388.1	WP_010779373.1	WP_002329793.1	WP_218256238.1	WP_013916334.1	WP_038700740.1	WP_145156843.1	*	*
20	22	0.12	WP_126404262.1	WP_005589818.1	WP_018029822.1	WP_120701928.1	WP_019777597.1	WP_026465606.1	WP_060776900.1	WP_060778595.1	WP_067979624.1	WP_016896482.1	*	*	*	WP_194520393.1	WP_171565946.1	WP_005876449.1	WP_002295469.1	WP_010780670.1	WP_002292242.1	WP_218255633.1	WP_014372206.1,WP_014653160.1	WP_038693328.1,WP_038699617.1	WP_152399356.1	*	*
12	13	0.131	WP_048789380.1	WP_005591779.1	WP_018030965.1	WP_023022258.1	WP_019769395.1,WP_002963190.1	WP_034258017.1	*	*	*	WP_003140776.1	*	*	*	*	*	WP_081133905.1	WP_002294546.1	WP_114524827.1	WP_002291898.1	WP_010745715.1	*	*	*	*	*
10	11	0.289	*	WP_005591022.1	*	*	*	WP_173636787.1,WP_026465124.1	*	WP_060777607.1	WP_067977145.1	WP_003142047.1	*	*	*	*	*	WP_081134796.1	WP_002295061.1	WP_086305744.1	WP_002329507.1	WP_218257063.1	*	*	*	*	*
11	11	0.0885	*	*	WP_018029636.1	*	WP_019777859.1	*	*	*	*	*	*	*	*	*	*	WP_081134954.1	WP_002326252.1	WP_114525603.1	WP_002329368.1	WP_070509940.1	*	WP_038695740.1	WP_152401640.1	WP_192043511.1	WP_162644054.1
10	16	0.395	*	*	*	*	*	*	*	*	*	*	WP_035066145.1	WP_066322761.1	WP_127017248.1	WP_194519269.1	WP_230077472.1	*	*	*	*	*	WP_013913923.1,WP_013913926.1,WP_014649010.1,WP_016362220.1,WP_016362221.1	WP_179944945.1	WP_152399988.1	WP_162359988.1,WP_162359990.1	WP_162642451.1,WP_162642452.1
16	18	0.293	WP_126404967.1	WP_005591512.1	*	WP_023024693.1	WP_019768736.1	WP_059348555.1	*	WP_060778425.1	WP_067978157.1	WP_003143018.1	*	*	*	*	*	*	WP_002347390.1	WP_010779741.1	WP_002308657.1	WP_070509017.1,WP_010745501.1	WP_014652645.1	*	WP_208837079.1	WP_162358360.1	WP_162639677.1,WP_162644300.1
19	19	0.137	WP_126404754.1	WP_005591783.1	WP_026161972.1	WP_023024226.1	WP_019790640.1	WP_059348559.1	*	WP_060779012.1	*	WP_039935881.1	WP_035067418.1	WP_066323339.1	*	WP_181555872.1	WP_230076880.1	WP_081135334.1	WP_002287961.1	WP_010781620.1	WP_002314249.1	WP_218256731.1	WP_016362851.1	*	WP_152401294.1	*	*
25	28	0.164	WP_006595514.1	WP_005592102.1	WP_018030621.1	WP_120701542.1	WP_019786899.1	WP_016897192.1	WP_201783960.1	WP_060779100.1	WP_067980883.1	WP_016897192.1	WP_009361090.1,WP_035065253.1	WP_179946281.1,WP_066325168.1	WP_236777826.1	WP_181555260.1,WP_181556693.1	WP_171563894.1	WP_005875785.1	WP_002295256.1	WP_010782266.1	WP_002309900.1	WP_010747421.1	WP_013921605.1	WP_038699850.1	WP_152399717.1	WP_225442817.1	WP_162641185.1
13	13	0.257	*	*	*	*	*	WP_026466552.1	WP_060776882.1	WP_060778637.1	WP_067977204.1	WP_003141710.1	*	*	WP_127016241.1	*	WP_029098324.1	WP_005879218.1	WP_002291179.1	WP_010780163.1	WP_002291179.1	WP_010745857.1	WP_014649349.1	*	*	*	*
9	9	0.233	*	*	*	*	*	*	*	*	*	*	*	WP_066326974.1	*	WP_228485574.1	WP_230077691.1	WP_095443517.1	*	*	*	*	WP_014652308.1	WP_038694549.1	WP_244364463.1	WP_162356302.1	WP_162639225.1
8	9	0.165	WP_126404916.1	*	WP_026161951.1	WP_120701527.1,WP_120701525.1	*	WP_059348739.1	WP_158320034.1	WP_076340250.1	WP_067977809.1	WP_003141753.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
10	10	0.146	*	*	*	*	*	*	*	*	*	*	WP_035066665.1	WP_066326274.1	WP_127016088.1	WP_181554466.1	WP_171565348.1	*	*	*	*	*	WP_013917846.1	WP_038697846.1	WP_152398464.1	WP_162356345.1	WP_162639190.1
10	10	0.224	*	WP_005590134.1	WP_018029760.1	*	*	WP_059348575.1	*	*	WP_067978081.1	WP_003143384.1	*	*	*	*	*	*	*	WP_114526038.1	*	WP_083284990.1	WP_014372394.1	WP_038695584.1	WP_145029422.1	*	*
13	14	0.303	*	*	*	*	*	WP_034258152.1	*	WP_060779019.1	WP_067980198.1	WP_039935597.1	*	*	*	*	WP_230077442.1	WP_002307505.1	*	WP_114526050.1,WP_010742427.1	WP_002307505.1	*	WP_016362437.1	WP_052098671.1	WP_152404265.1	WP_162358007.1	WP_225446279.1
11	11	0.144	*	*	*	*	*	WP_059348805.1	*	*	*	*	WP_035067818.1	WP_066322145.1	WP_127016524.1	WP_194519409.1	WP_230077634.1	*	*	*	*	*	WP_014372575.1	WP_038692869.1	WP_152399691.1	WP_162354794.1	WP_162640923.1
6	8	0.457	WP_126403704.1	*	WP_018029988.1	*	*	*	*	*	*	*	*	*	*	WP_181556486.1	*	WP_081134648.1	*	*	WP_002310516.1	WP_207106780.1,WP_218256612.1,WP_218257399.1	*	*	*	*	*
8	8	0.267	*	*	*	*	*	*	*	*	*	*	WP_026011840.1	WP_066325969.1	*	WP_194520677.1	WP_230077144.1	*	*	*	*	*	WP_016362587.1	WP_038695181.1	*	WP_162358198.1	WP_162644549.1
18	19	0.108	WP_126404165.1	WP_005589631.1	*	WP_120701982.1	WP_019790985.1	WP_059348393.1	WP_060776322.1	WP_060778056.1	WP_067978398.1,WP_067977365.1	WP_004262822.1	*	*	*	WP_194520315.1	*	WP_081133763.1	WP_002297083.1	WP_114525272.1	WP_002329733.1	WP_218256433.1	WP_014652807.1	WP_084064862.1	WP_076169657.1	*	*
14	15	0.197	*	*	*	*	*	WP_059348529.1	*	WP_060777620.1	WP_067977272.1,WP_067980211.1	WP_003140820.1	WP_019416591.1	WP_066326993.1	WP_127017650.1	WP_194519381.1	WP_171563905.1	*	*	WP_114524886.1	*	WP_028020526.1	WP_014649194.1	*	*	WP_162355852.1	WP_162643440.1
12	13	0.276	WP_126403810.1	WP_005591778.1	WP_018030966.1	WP_023022256.1	WP_002961489.1,WP_019769398.1	WP_026465585.1	*	*	*	WP_003140778.1	*	*	*	*	*	WP_005881094.1	WP_002286670.1	WP_114524826.1	WP_002329017.1	WP_010745716.1	*	*	*	*	*
25	29	0.308	WP_126404770.1	WP_005591685.1	WP_018030688.1	WP_006595680.1	WP_019777833.1	WP_026465541.1	WP_060776648.1	WP_060779015.1	WP_067978845.1	WP_003142907.1	WP_026011473.1	WP_066322337.1	WP_127017628.1,WP_127015837.1	WP_181555275.1	WP_171563919.1	WP_005875808.1	WP_002288368.1,WP_002296241.1	WP_010782258.1	WP_002288368.1,WP_142666988.1	WP_010747413.1,WP_218256382.1	WP_013921588.1	WP_038699821.1	WP_145162262.1	WP_162354718.1	WP_162641274.1
5	5	0.224	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_212133331.1	*	*	*	*	*	WP_013920956.1	WP_038700892.1	WP_152399025.1	WP_162354673.1	*
5	5	0.492	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013916012.1	WP_038699782.1	WP_076172678.1	WP_162360513.1	WP_162640687.1
4	5	0.212	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014369447.1,WP_051044967.1	*	WP_152404077.1	WP_162355609.1	WP_162640086.1
5	5	0.198	*	*	*	*	*	*	*	*	*	*	WP_035064981.1	WP_066323300.1	*	WP_194519831.1	WP_230077795.1	*	*	*	*	*	WP_014368213.1	*	*	*	*
5	5	0.188	WP_126403645.1	WP_005592462.1	WP_018029630.1	WP_117745002.1	*	*	*	WP_060778893.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
5	5	0.285	*	*	*	*	*	*	WP_060776470.1	WP_060778842.1	WP_067980564.1	*	*	*	WP_127016124.1	*	*	*	*	*	*	WP_010744056.1	*	*	*	*	*
5	5	0.443	*	*	*	*	*	*	*	*	*	*	WP_009362384.1	WP_066324665.1	*	WP_181556193.1	WP_171564395.1	WP_095443666.1	*	*	*	*	*	*	*	*	*
5	5	0.186	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014652323.1	WP_038695852.1	WP_152398269.1	WP_162355196.1	WP_162640474.1
5	5	0.492	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013920200.1	WP_038698173.1	WP_244364482.1	WP_225442529.1	WP_225446172.1
5	5	0.47	*	*	*	*	*	*	*	*	*	*	WP_035064559.1	WP_066326338.1	*	*	WP_212132630.1	*	*	*	*	*	*	WP_052098303.1	*	WP_162357016.1	*
4	5	0.504	*	*	*	*	*	*	WP_060776127.1	WP_060779002.1	*	*	*	*	*	*	*	WP_002291912.1,WP_081134644.1	*	*	WP_002355369.1	*	*	*	*	*	*
5	5	0.299	*	*	*	*	*	WP_059348377.1	*	*	*	WP_003143254.1	WP_035063972.1	*	*	*	*	*	*	*	*	WP_218256226.1	*	*	*	WP_162355428.1	*
5	5	0.08	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_212133478.1	*	*	*	*	*	WP_014368159.1	*	WP_152404479.1	WP_162356943.1	WP_225446337.1
5	5	0.319	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_181555454.1	WP_212132703.1	*	*	*	*	*	*	WP_084065058.1	WP_152402056.1	WP_162355328.1	*
5	5	0.224	WP_185946455.1	WP_005590530.1	*	WP_023023402.1	*	*	*	*	*	*	*	WP_066327517.1	*	*	*	*	WP_002296628.1	*	*	*	*	*	*	*	*
4	5	0.154	*	WP_000857133.1	*	*	*	*	WP_000857133.1	*	*	*	*	*	*	*	*	*	*	WP_010740251.1,WP_010826047.1	*	WP_000857133.1	*	*	*	*	*
5	5	0.508	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014649314.1	WP_038694421.1	WP_152400762.1	WP_162359153.1	WP_162643269.1
22	22	0.179	WP_126404923.1	WP_005591574.1	WP_018030588.1	WP_120701515.1	WP_019777609.1	WP_059348741.1	WP_236701107.1	WP_060777934.1	WP_067977801.1	WP_003141749.1	*	WP_066328116.1	*	WP_181557064.1	*	WP_005879488.1	WP_002289885.1	WP_114524632.1	WP_002314793.1	WP_218255973.1	WP_013919083.1	WP_038695157.1	WP_105441572.1	WP_162356232.1	WP_162639389.1
6	7	0.357	*	*	*	*	*	*	*	*	*	*	WP_009362053.1	WP_066323137.1	*	*	WP_230077079.1	*	*	*	*	*	*	WP_038696168.1	WP_152400321.1,WP_152403472.1	*	WP_162638148.1
6	7	0.385	*	*	*	*	*	*	*	WP_060777703.1	*	*	*	*	WP_127017525.1	*	WP_230076649.1	*	*	WP_114525036.1,WP_010779399.1	*	*	WP_013916732.1	*	WP_152404169.1	*	*
7	7	0.276	*	*	*	*	*	*	*	*	*	*	*	WP_066327271.1	*	WP_181556334.1	*	*	*	*	*	*	WP_014652569.1	WP_038698262.1	WP_152398685.1	WP_162359056.1	WP_162643381.1
20	21	0.106	WP_126404670.1	WP_005589443.1	WP_018030323.1	WP_120701716.1	WP_002960338.1	WP_026465579.1	*	WP_060778928.1	WP_067978780.1	WP_003140770.1	*	WP_066322898.1	*	WP_194519151.1	WP_230076827.1	WP_005876720.1	WP_002296072.1	WP_114523952.1	WP_016853423.1	WP_218256711.1,WP_070509410.1	WP_014371810.1	WP_038695118.1	WP_105445043.1	*	*
5	7	0.437	WP_006595314.1	WP_005591121.1,WP_005591364.1	WP_018031080.1,WP_018030395.1	WP_120701429.1	WP_002962720.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
24	27	0.28	WP_126403580.1	WP_005591345.1	WP_018031145.1	WP_120701411.1	WP_109833399.1	WP_059348567.1	WP_060776745.1,WP_060776247.1	WP_060777656.1,WP_060778358.1	*	WP_003142079.1,WP_003142987.1	WP_009360741.1	WP_066322915.1	WP_127017608.1	WP_194519500.1	WP_230077693.1	WP_005876456.1	WP_002288023.1	WP_086303735.1	WP_219273580.1	WP_218255625.1	WP_013920978.1	WP_038693566.1	WP_152399223.1	WP_162355380.1	WP_162640298.1
12	12	0.296	*	*	*	*	*	*	*	*	*	*	WP_035066549.1	WP_066324907.1	*	*	*	WP_081134112.1	WP_002304230.1	WP_114524045.1	WP_080032454.1	WP_218256879.1	WP_014370137.1	WP_038693551.1	WP_152399225.1	WP_162360536.1	WP_162645515.1
11	12	0.439	*	*	WP_018030650.1	*	*	*	*	*	*	*	WP_035067583.1	WP_066325383.1	*	WP_194520084.1	*	*	*	WP_010780236.1	*	WP_218256086.1	WP_014372493.1	WP_038696446.1,WP_038693145.1	WP_152398124.1	WP_162358087.1	WP_162644684.1
13	13	0.0929	WP_126404083.1	WP_005590298.1	*	WP_120702045.1	WP_019774949.1	WP_059349311.1	*	WP_195851580.1	*	WP_039934929.1	*	*	*	WP_228485730.1	*	WP_081133403.1	WP_002289765.1	WP_010780730.1	WP_219273584.1	WP_218255560.1	*	*	*	*	*
10	10	0.309	WP_126403979.1	WP_005590670.1	WP_018031049.1	WP_120702196.1	WP_029238543.1	*	*	*	*	*	*	*	*	*	*	WP_081134390.1	WP_002296994.1	WP_010740263.1	WP_002290227.1	WP_218257189.1	*	*	*	*	*
14	14	0.32	*	*	*	*	*	WP_236747927.1	WP_060776313.1	WP_060778066.1	WP_067979991.1	WP_106427333.1	WP_009373734.1	WP_066325903.1	*	WP_194520572.1	WP_230076876.1	WP_081134412.1	WP_002298136.1	WP_114524228.1	WP_002290173.1	WP_218257172.1	*	*	*	*	*
18	18	0.462	WP_006595487.1	WP_005592096.1	WP_018029597.1	WP_023024562.1	WP_109833632.1	WP_026466393.1	WP_060776361.1	WP_060777867.1	WP_067977949.1	WP_003142460.1	WP_026011827.1	WP_066323955.1	*	WP_181557239.1	*	WP_005876674.1	WP_002287130.1	WP_010781742.1	WP_002291023.1	WP_218256695.1	*	*	*	*	*
23	24	0.248	WP_048691007.1	WP_005591398.1	WP_018030418.1	WP_120701441.1	WP_002962168.1	WP_059134712.1	WP_060777031.1	WP_060777958.1	WP_067979752.1	WP_003141388.1	*	WP_066323278.1	WP_127015658.1	*	WP_171565789.1	WP_081133482.1	WP_002288045.1	WP_114525351.1	WP_002288045.1	WP_218257276.1	WP_014649551.1	WP_038698550.1	WP_145026224.1,WP_152399244.1	WP_162356067.1	WP_162639575.1
16	16	0.257	WP_126404694.1	WP_005590833.1	WP_018030363.1	WP_117744570.1	WP_002963285.1	*	*	*	*	*	WP_019417983.1	WP_066323446.1	*	WP_181555093.1	WP_171564722.1	WP_005877101.1	WP_002295789.1	WP_010780829.1	WP_002292972.1	WP_218257281.1	*	*	WP_076171166.1	*	WP_162638217.1
23	24	0.174	WP_061563816.1	WP_005590256.1	WP_018029734.1,WP_018030438.1	WP_023022836.1	WP_002961536.1	WP_059348402.1	WP_060776487.1	WP_060777685.1	WP_067979136.1	WP_003143375.1	*	WP_066326218.1	WP_236777839.1	WP_194518940.1	WP_230077680.1	WP_005880413.1	WP_002296590.1	WP_010781554.1	WP_002292759.1	WP_010746713.1	*	WP_038695862.1	WP_145135746.1	WP_162358728.1	WP_162643930.1
14	14	0.437	WP_126403894.1	WP_005592400.1	WP_018030163.1	WP_023022453.1	*	WP_059348318.1	WP_060776702.1	WP_060778775.1	WP_067978965.1	WP_003142109.1	*	*	*	*	*	WP_081133773.1	WP_002289747.1	WP_114525274.1	WP_002293433.1	WP_218256441.1	*	*	*	*	*
12	13	0.146	*	*	WP_018029391.1	*	WP_109833648.1	*	*	*	*	*	WP_035063945.1	WP_066325210.1	WP_127016868.1,WP_127016923.1	WP_194520181.1	*	WP_095443604.1	WP_002287799.1	WP_114524820.1	WP_002336685.1	WP_060789416.1	*	WP_038694436.1	*	*	*
13	13	0.493	WP_126404913.1	WP_005591610.1	WP_018029595.1	WP_120701530.1	WP_109833625.1	WP_016897159.1	*	*	WP_067977195.1	WP_003142691.1	*	*	*	*	*	WP_095443855.1	WP_002289629.1	WP_114524425.1	WP_002309294.1	WP_218255510.1	*	*	*	*	*
11	12	0.458	*	*	*	*	*	WP_059349027.1	*	WP_060778891.1	WP_067980823.1	WP_003142129.1	*	*	*	WP_228485696.1	*	WP_005877180.1,WP_095443898.1	WP_002293844.1	WP_010779411.1	WP_002291148.1	WP_218256221.1	*	WP_038693936.1	*	*	*
17	17	0.143	WP_126403621.1	WP_111705368.1	WP_018030484.1	WP_023024974.1	WP_002960525.1	WP_051218186.1	WP_060776625.1	*	WP_082702048.1	WP_106427309.1	WP_240483416.1	*	*	*	*	WP_005878087.1	WP_002288081.1	WP_010779884.1	WP_002292348.1	WP_060789075.1	*	WP_038693263.1	*	*	WP_162645895.1
17	18	0.297	WP_048716194.1	WP_005590122.1	*	WP_023023547.1	*	WP_026466064.1	WP_060777255.1	WP_060778346.1	WP_067977706.1	WP_003142643.1	*	WP_066324147.1	*	WP_194520606.1	WP_171564318.1	WP_005875469.1	WP_002292560.1	WP_010779421.1,WP_010779236.1	WP_002329636.1	WP_070509440.1	WP_014653127.1	*	*	*	*
6	8	0.145	*	WP_000813488.1	*	WP_120701270.1,WP_120701574.1	*	*	WP_000813488.1	*	*	*	*	*	*	*	*	WP_095443924.1	WP_002321809.1	WP_010740286.1,WP_114524242.1	*	*	*	*	*	*	*
8	8	0.392	*	*	*	*	*	*	*	*	*	*	*	*	WP_127017265.1	*	*	WP_081135526.1	WP_002294440.1	WP_114524523.1	WP_002329316.1	WP_218255715.1	*	*	*	WP_162354815.1	WP_162640908.1
8	8	0.353	*	*	*	*	*	*	*	*	*	*	WP_009373837.1	WP_066326021.1	*	WP_181554293.1	*	*	*	*	*	*	WP_013916601.1	WP_038696803.1	WP_167527082.1	WP_162358196.1	WP_162644553.1
8	8	0.123	*	WP_005590345.1	*	*	*	WP_059348379.1	*	*	*	WP_003143258.1	WP_009361578.1	WP_066327745.1	*	WP_194519097.1	WP_230077244.1	*	*	*	*	*	*	*	WP_152400423.1	*	*
8	8	0.277	*	*	*	*	*	*	*	*	*	*	WP_019417417.1	*	WP_164731001.1	*	WP_171566900.1	*	*	*	*	*	WP_014649540.1	WP_245625212.1	WP_145137179.1	WP_162359234.1	WP_162643178.1
8	8	0.228	*	*	*	*	*	*	*	*	*	*	WP_035067354.1	WP_066323168.1	WP_127015788.1	WP_194519709.1	*	*	*	*	*	*	*	WP_038693346.1	WP_152399346.1	WP_162355683.1	WP_162640006.1
6	6	0.367	*	WP_005590944.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014372619.1	WP_038692943.1	WP_152399680.1	WP_162354820.1	WP_162640903.1
6	6	0.248	*	*	*	*	*	*	WP_060776754.1	WP_060777659.1	WP_067977131.1	*	*	*	*	*	*	WP_005876662.1	WP_002294022.1	*	WP_002291032.1	*	*	*	*	*	*
5	6	0.546	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_002295999.1	*	WP_002329820.1	*	*	WP_038701418.1	WP_152397922.1,WP_152402691.1	*	WP_162641469.1
5	6	0.652	*	*	*	*	*	*	*	*	*	*	WP_035066833.1	WP_066326076.1	WP_127016146.1,WP_236777876.1	WP_194518869.1	WP_171565576.1	*	*	*	*	*	*	*	*	*	*
6	6	0.38	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_171565071.1	*	*	*	*	*	WP_014649502.1	WP_038698647.1	WP_145137200.1	WP_162359310.1	WP_162643117.1
5	6	0.385	WP_126403701.1,WP_126403714.1	WP_005591591.1	WP_018029879.1	WP_023022107.1	WP_019777229.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
6	6	0.541	*	*	*	*	*	*	*	*	*	*	WP_035067090.1	*	*	*	WP_230077209.1	*	*	*	*	*	WP_014649261.1	WP_038693719.1	*	WP_162355429.1	WP_162640252.1
5	6	0.542	*	*	*	*	*	WP_236747993.1	*	*	*	*	*	*	*	WP_181556473.1	*	*	*	*	*	*	WP_238540655.1	WP_038693522.1	WP_152401816.1,WP_208837155.1	*	*
